episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
325,6.27,16.27,91,caught,0.8496,0.8496,1.264083,2.29619
326,54.5,-13.5,600,cleared,0.8491,0.8491,3.282158,0.554488
327,39.74,14.74,142,caught,0.8487,0.8487,1.137363,1.390349
328,61.0,-13.0,600,cleared,0.8483,0.8483,1.176977,1.243292
329,46.5,-12.5,600,cleared,0.8479,0.8479,0.908764,0.479623
330,13.24,16.24,92,caught,0.8474,0.8474,1.3068,1.723346
331,40.11,8.11,363,caught,0.847,0.847,0.942837,3.510455
332,6.57,16.57,81,caught,0.8466,0.8466,1.108215,0.754852
333,35.54,10.54,282,caught,0.8462,0.8462,1.135543,0.403413
334,59.0,-11.0,600,cleared,0.8457,0.8457,1.020841,0.210652
335,23.85,12.85,205,caught,0.8453,0.8453,0.768551,1.1249
336,-2.74,14.26,158,caught,0.8449,0.8449,0.899898,0.510383
337,12.13,15.13,129,caught,0.8445,0.8445,0.941414,1.833109
338,-6.11,17.89,37,caught,0.8441,0.8441,1.591671,0.312757
339,11.75,7.75,375,caught,0.8436,0.8436,0.924779,1.448405
340,14.74,17.74,42,caught,0.8432,0.8432,1.184463,0.252911
341,-2.07,7.93,369,caught,0.8428,0.8428,1.251717,0.818068
342,28.57,10.57,281,caught,0.8424,0.8424,0.86706,2.292289
343,6.03,16.03,99,caught,0.8419,0.8419,1.180976,0.224012
344,20.26,2.26,558,cleared,0.8415,0.8415,1.325657,0.325708
345,18.47,14.47,151,caught,0.8411,0.8411,0.844205,2.584405
346,39.9,7.9,370,caught,0.8407,0.8407,1.532907,2.09403
347,41.14,2.14,562,cleared,0.8403,0.8403,0.947075,1.577185
348,14.2,17.2,60,caught,0.8398,0.8398,0.795711,0.262711
349,7.09,10.09,297,caught,0.8394,0.8394,1.342703,2.065412
350,6.39,16.39,87,caught,0.839,0.839,0.935294,0.923853
351,37.2,5.2,460,caught,0.8386,0.8386,1.272129,0.540686
352,19.73,15.73,109,caught,0.8382,0.8382,1.683218,0.984015
353,20.42,16.42,86,caught,0.8377,0.8377,0.847923,0.263038
354,19.64,15.64,112,caught,0.8373,0.8373,1.786041,0.65932
355,20.15,16.15,95,caught,0.8369,0.8369,1.185659,0.616017
356,11.29,14.29,157,caught,0.8365,0.8365,1.07653,2.736177
357,12.55,15.55,115,caught,0.8361,0.8361,0.958865,2.831023
358,0.86,17.86,38,caught,0.8357,0.8357,1.040769,0.473589
359,13.45,16.45,85,caught,0.8352,0.8352,1.335408,0.93915
360,38.0,-11.0,600,cleared,0.8348,0.8348,1.435008,1.512779
361,26.16,15.16,128,caught,0.8344,0.8344,2.012567,1.579234
362,15.84,4.84,472,cleared,0.834,0.834,1.328878,1.11525
363,-12.44,11.56,248,caught,0.8336,0.8336,1.187882,1.453282
364,28.17,17.17,61,caught,0.8331,0.8331,1.734896,2.627342
365,12.4,15.4,120,caught,0.8327,0.8327,0.880005,0.456973
366,39.03,7.03,399,caught,0.8323,0.8323,0.714016,2.399418
367,14.81,10.81,273,caught,0.8319,0.8319,0.806986,1.447847
368,28.3,10.3,290,caught,0.8315,0.8315,3.716736,1.194089
369,33.49,15.49,117,caught,0.8311,0.8311,3.5634,0.25638
370,31.51,13.51,183,caught,0.8307,0.8307,0.926956,0.671856
371,27.38,2.38,554,cleared,0.8302,0.8302,0.976881,0.240124
372,9.31,12.31,223,caught,0.8298,0.8298,1.287159,2.353746
373,60.09,7.09,397,caught,0.8294,0.8294,1.944368,1.316031
374,36.26,11.26,258,caught,0.829,0.829,1.250187,0.955284
375,51.97,12.97,201,caught,0.8286,0.8286,1.069461,1.537798
376,-0.85,16.15,95,caught,0.8282,0.8282,1.491117,1.486214
377,-8.81,15.19,127,caught,0.8277,0.8277,1.365837,0.948779
378,32.54,7.54,382,caught,0.8273,0.8273,1.269817,1.628807
379,16.58,12.58,214,caught,0.8269,0.8269,1.842944,0.549502
380,7.68,17.68,44,caught,0.8265,0.8265,3.674002,1.443387
381,11.87,7.87,371,caught,0.8261,0.8261,1.271254,0.362008
382,-1.69,15.31,123,caught,0.8257,0.8257,4.262643,1.249402
383,10.9,13.9,170,caught,0.8253,0.8253,1.097646,0.241583
384,3.6,13.6,180,caught,0.8249,0.8249,0.89809,0.819952
385,20.69,16.69,77,caught,0.8244,0.8244,1.053027,0.375409
386,27.93,16.93,69,caught,0.824,0.824,1.128511,1.027236
